id,id_paper,reference
50,5,"L. Vandevenne, Lodes computer graphics tutorial flood fill, 2004, [online] Available: http://lodev.org/cgtutor/floodfill.html."
51,5,"J. Parker, Pratical Computer Vision Using C, New York:John Wiley and Sons, 1994."
52,5,"G. M. Hunter, ""Computer animation survey"", Computers and Graphics, vol. 2, pp. 225-229, 1977."
53,5,"J. Lasseter, Principles of traditional animation applied to 3d computer animation, pp. 263-272, 1998."
54,5,"E. Catmull, ""The problems of computer-assisted animation"", Siggraph, vol. 12, no. 3, pp. 348-353, 1978."
55,5,"H. Bezerra, L. Velho and B. Feijό, ""A computer-assited colorization algorithm based on topological differences"", Sibgrapi, pp. 121-127, 2006."
56,5,"C.-W. Chang and S.-Y. Lee, ""Automatic cel painting in computer-assisted cartoon production using similarity recognition"", The Journal of Visualization and Computer Animation, 1998."
57,5,"G. Salembier, L. Garrido, P. Salembier and J. R. Casas, ""Representing and retrieving regions using binary partition trees"", International Conference on Image Processing, 1999."
58,5,"M. A. de Carvalho and R. D. A. Lotufo, ""Hierarchical regions matching in image sequences through association graph"", Sibgrapi, pp. 396-404, 2001."
59,5,"M. A. Carvalho, M. Couprie and R. de Alencar Lotufo, ""Image segmentation by analysis of scale-space"", Sibgrapi, pp. 403-411, 2002."
60,5,"T.-P. Wu, J. Sun, C.-K. Tang and H.-Y. Shum, ""Interactive normal reconstruction from a single image"", Siggraph Asia, vol. 27, pp. 119:1-119:9, 2008."
61,5,"B. Horn, Obtaining shape from shading information, pp. 123-171, 1989."
62,5,"T. Igarashi, S. Matsuoka and H. Tanaka, ""Teddy: a sketching interface for 3d freeform design"", Siggraph courses, 2007."
63,5,"R. C. Zeleznik, K. P. Herndon and J. F. Hughes, ""Sketch: an interface for sketching 3d scenes"", Siggraph courses, 2007."
64,5,"B. T. Phong, ""Illumination for computer generated pictures"", Communications of the ACM, vol. 18, pp. 311-317, 1975."
65,5,"S. F. Johnston, ""Lumo: illumination for cel animation"", Non-Photorealistic Animation and Rendering. ACM, pp. 45-ff, 2002."
66,5,"D. Sýkora, D. Sedlacek, S. Jinchao, J. Dingliana and S. Collins, ""Adding depth to cartoons using sparse depth (in)equalities"", Computer Graphics Forum, vol. 29, no. 2, pp. 615-623, 2010."
67,5,"S. Hock and F. Tian, ""Computer-assisted coloring by matching line drawings"", The Visual Computer, vol. 16, no. 5, pp. 289-304, 2000."
68,5,"D. Sykora, J. Burianek and J. Zara, ""Segmentation of black and white cartoons"", Spring Conference on Computer Graphics, pp. 245-254, 2003."
69,5,"D. Sýkora, J. Burianek and J. Zara, ""Unsupervized colorization of black-and-white cartoons"", Non-Photorealistic Animation and Rendering, pp. 121-127, 2004."
70,5,"P. G. Trigo, H. Johan, T. Imagire and T. Nishita, ""Interactive region matching for 2d animation coloring based on features variation"", Ieice Transactions, vol. 92-D, pp. 1289-1295, 2009."
71,5,"Zhang and Suen, ""A fast parallel algorithm for thinning digital patterns"", Communications of the ACM, vol. 27, pp. 236-239, 1984."
72,5,"L. Vandevenne, Lodes computer graphics tutorial flood fill, 2004, [online] Available: http://lodev.org/cgtutor/floodfill.html."
73,5,"J. Parker, Pratical Computer Vision Using C, New York:John Wiley and Sons, 1994."
74,6,"M. Zwicker, H. Pfister, J. van Baar and M. Gross, ""Surface splatting"", SIGGRAPH ’01: Proceedings of the 28th annual conference on Computer graphics and interactive techniques, pp. 371-378, 2001."
75,6,"B. Adams and P. Dutré, ""Interactive boolean operations on surfel-bounded solids"", ACM SIGGRAPH 2003 Papers ser. SIGGRAPH 03. ACM, pp. 651-656, 2003."
76,6,"M. Pauly, R. Keiser, L. P. Kobbelt and M. Gross, ""Shape modeling with point-sampled geometry"", ACM SIGGRAPH 2003 Papers ser. SIGGRAPH 03. ACM, pp. 641-650, 2003."
77,6,"M. Pauly, R. Keiser, B. Adams, P. Dutré, M. Gross and L. J. Guibas, ""Meshless animation of fracturing solids"", ACM SIGGRAPH 2005 Papers ser. SIGGRAPH 05, pp. 957-964, 2005."
78,6,"M. Levoy and T. Whitted, ""The use of points as display primitive"", Computer Science Department, 1985."
79,6,"J. P. Grossman and W. J. Dally, ""Point sample rendering"", Proceedings of Eurographics Workshop on Rendering 98, pp. 181-192, 1998."
80,6,"H. Pfister, M. Zwicker, J. van Baar and M. Gross, ""Surfels: Surface elements as rendering primitives"", Proceedings of SIGGRAPH 00, pp. 335-342, 2000."
81,6,"M. Alexa, J. Behr, D. Cohen-Or, S. Fleishman and C. Silva, ""Point set surfaces"", Proceedings of IEEE Visualization 01, pp. 21-28, 2001."
82,6,"S. Fleishman, D. Cohen-Or, M. Alexa and C. T. Silva, ""Progressive point set surfaces"", ACM Transactions on Graphics 22, vol. 4, 2003."
83,6,"M. Zwicker, J. Rasanen, M. Botsch, C. Dachsbacher and M. Pauly, ""Perspective accurate splatting"", Proceedings of Graphics Interface 2004 ser. GI 04. Canadian Human-Computer Communications Society, pp. 247-254, 2004."
84,6,"M. Wicke, M. Teschner and M. Gross, ""Csg tree rendering for point-sampled objects"", Proceedings of the Computer Graphics and Applications 12th Pacific Conference ser. PG 04, pp. 160-168, 2004."
85,6,"L. P. Kobbelt, M. Botsch, U. Schwanecke and H.-P. Seidel, ""Feature sensitive surface extraction from volume data"", Proceedings of the 28th annual conference on Computer graphics and interactive techniques ser. SIGGRAPH 01. ACM, pp. 57-66, 2001."
86,6,"M. Botsch and L. Kobbelt, ""High-quality point-based rendering on modern gpus"", Proceedings of the 11th Pacific Conference on Computer Graphics and Applications ser. PG 03, pp. 335-343, 2003."
87,6,"M. Botsch, M. Spernat and L. Kobbelt, ""Phong splatting"", Proceedings of Symposium on Point-Based Graphics 2004, pp. 25-32, 2004."
88,6,"M. Botsch, A. Hornung, M. Zwicker and L. Kobbelt, ""High-quality surface splatting on todays gpus"", Proceedings Eurographics/IEEE VGTC Symposium Point-Based Graphics, vol. 0, pp. 17-141, 2005."
89,6,"M. Zwicker, H. Pfister, J. van Baar and M. Gross, ""Surface splatting"", SIGGRAPH ’01: Proceedings of the 28th annual conference on Computer graphics and interactive techniques, pp. 371-378, 2001."
90,6,"B. Adams and P. Dutré, ""Interactive boolean operations on surfel-bounded solids"", ACM SIGGRAPH 2003 Papers ser. SIGGRAPH 03. ACM, pp. 651-656, 2003."
91,6,"M. Pauly, R. Keiser, L. P. Kobbelt and M. Gross, ""Shape modeling with point-sampled geometry"", ACM SIGGRAPH 2003 Papers ser. SIGGRAPH 03. ACM, pp. 641-650, 2003."
92,6,"M. Pauly, R. Keiser, B. Adams, P. Dutré, M. Gross and L. J. Guibas, ""Meshless animation of fracturing solids"", ACM SIGGRAPH 2005 Papers ser. SIGGRAPH 05, pp. 957-964, 2005."
93,6,"M. Levoy and T. Whitted, ""The use of points as display primitive"", Computer Science Department, 1985."
94,6,"J. P. Grossman and W. J. Dally, ""Point sample rendering"", Proceedings of Eurographics Workshop on Rendering 98, pp. 181-192, 1998."
95,6,"H. Pfister, M. Zwicker, J. van Baar and M. Gross, ""Surfels: Surface elements as rendering primitives"", Proceedings of SIGGRAPH 00, pp. 335-342, 2000."
96,6,"M. Alexa, J. Behr, D. Cohen-Or, S. Fleishman and C. Silva, ""Point set surfaces"", Proceedings of IEEE Visualization 01, pp. 21-28, 2001."
97,6,"S. Fleishman, D. Cohen-Or, M. Alexa and C. T. Silva, ""Progressive point set surfaces"", ACM Transactions on Graphics 22, vol. 4, 2003."
98,6,"M. Zwicker, J. Rasanen, M. Botsch, C. Dachsbacher and M. Pauly, ""Perspective accurate splatting"", Proceedings of Graphics Interface 2004 ser. GI 04. Canadian Human-Computer Communications Society, pp. 247-254, 2004."
99,6,"M. Wicke, M. Teschner and M. Gross, ""Csg tree rendering for point-sampled objects"", Proceedings of the Computer Graphics and Applications 12th Pacific Conference ser. PG 04, pp. 160-168, 2004."
100,6,"L. P. Kobbelt, M. Botsch, U. Schwanecke and H.-P. Seidel, ""Feature sensitive surface extraction from volume data"", Proceedings of the 28th annual conference on Computer graphics and interactive techniques ser. SIGGRAPH 01. ACM, pp. 57-66, 2001."
101,6,"M. Botsch and L. Kobbelt, ""High-quality point-based rendering on modern gpus"", Proceedings of the 11th Pacific Conference on Computer Graphics and Applications ser. PG 03, pp. 335-343, 2003."
102,6,"M. Botsch, M. Spernat and L. Kobbelt, ""Phong splatting"", Proceedings of Symposium on Point-Based Graphics 2004, pp. 25-32, 2004."
103,6,"M. Botsch, A. Hornung, M. Zwicker and L. Kobbelt, ""High-quality surface splatting on todays gpus"", Proceedings Eurographics/IEEE VGTC Symposium Point-Based Graphics, vol. 0, pp. 17-141, 2005."
104,7,"H. Edelsbrunner and J. Harer, Computational Topology. An Introduction, January 2010."
105,7,"H. Edelsbrunner, D. Letscher and A. Zomorodian, ""Topological persistence and simplification"", Discrete & Computational Geometry, vol. 28, no. 4, pp. 511-533, 2002."
106,7,"C. Chen and M. Kerber, ""Persistent homology computation with a twist"", 27th European Workshop on Compo Geometry (EuroCG 2011), 2011."
107,7,"R. Forman, ""Morse theory for cell complexes"", Advances in Mathematics, vol. 134, pp. 90-145, 1998."
108,7,"R. Forman, ""A user's guide to discrete Morse theory"", Seminaire Lotharingien de Combinatoire, vol. 48c, pp. 1-35, 2002."
109,7,"V. Robins, P. J. Wood and A. P. Sheppard, ""Discrete Morse theory for grayscale digital images"", IEEE Transactions on Pattern Analysis and Machine Learning, pp. 1-14, 2010."
110,7,"P. Bendich, H. Edelsbrunner and M. Kerber, ""Computing robustness and persistence for images"", Proceedings of IEEE Visualization, vol. 16, no. 6, pp. 1251-1260, 2010."
