"description","estado","sigla","regiao","IA"
"DCMM, PUC-Rio, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"DCMM, PUC-Rio, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"Departamento de CiCncia da ComputaGBo, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"Departamento de CiCncia da ComputaGBo, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"Departamento de CiCncia da ComputaGBo, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"Departamento Sistemas e Computação, Universidade Federal Paraíba, Campina Grande, Paraiba, Brazil",Paraíba,PB,Nordeste
"Departamento Sistemas e Computação, Universidade Federal Paraíba, Campina Grande, Paraiba, Brazil",Paraíba,PB,Nordeste
"Instituto de Computação, Universidade Estadual de Campinas (UNICAMP), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Instituto de Computação, Universidade Estadual de Campinas (UNICAMP), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Universidade Federal de Pernambuco - Centro de Informática, Recife, PE, Brazil",Pernambuco,PE,Nordeste
"Universidade Federal de Pernambuco - Centro de Informática, Recife, PE, Brazil",Pernambuco,PE,Nordeste
"Universidade Federal de Pernambuco - Centro de Informática, Recife, PE, Brazil",Pernambuco,PE,Nordeste
"FEEC-Faculdade of Engenharia Elãtrica e de Computaçéo, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"FEEC-Faculdade of Engenharia Elãtrica e deComputação, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"ITI-Instituto Nacional of Tecnologia of Informacção, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Universidade Estadual de Campinas (UNICAMP), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Universidade Estadual de Campinas (UNICAMP), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Universidade Estadual de Campinas (UNICAMP), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Universidade Estadual de Campinas (UNICAMP), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Universidade Estadual de Campinas (UNICAMP), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Universidade Estadual de Campinas (UNICAMP), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Faculdade Engenharia Elétrica e Computação, State University of Campinas-UNICAMP, Brazil",São Paulo,SP,Sudeste
"Instituto Tecnológico Informática, Brazil",Internacional,,
"Faculdade Engenharia Elétrica e Computação, State University of Campinas-UNICAMP, Brazil",São Paulo,SP,Sudeste
"Instituto Computação-Unicamp, Germany",Internacional,,
"SDC Engenharia, Brazil",São Paulo,SP,Sudeste,S
"Instituto Computação-Unicamp, Germany",Internacional,,
"Instituto Computação-Unicamp, Germany",Internacional,,
"Departamento Estatistica, CCEN-UFPB, Brazil",Paraíba,PB,Nordeste
"CETEC-AV. Jose Candido da Silveira, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"UFMG ICEX DCC NPDI, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"CETEC-AV. Jose Candido da Silveira, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"Departamento de Ciência da Computação, UFMG/ICEx/DCC/NPDI, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"CSM/IGC/NFMG, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"NPDVDCCAJFMG, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"CSM/IGC/NFMG, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"CSM/IGC/NFMG, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"UFRGS Universidade Federal do Rio Grande do Sul, Porto Alegre, Rio Grande do Sul, Brazil",Rio Grande do Sul,RS,Sul
"UFRGS Universidade Federal do Rio Grande do Sul, Porto Alegre, Rio Grande do Sul, Brazil",Rio Grande do Sul,RS,Sul
"UFRGS Universidade Federal do Rio Grande do Sul, Porto Alegre, Rio Grande do Sul, Brazil",Rio Grande do Sul,RS,Sul
"Image Sciences Institute-Department of Medical Imaging, University of Utrecht, Netherlands",Internacional,,
"Instituto de Computação, Universidade Federal Fluminense, Niteroi, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"Pontificia Universidade Catolica do Parana, Curitiba, Parana, Brazil",Paraná,PR,Sul
"Pontificia Universidade Catolica do Parana, Curitiba, Parana, Brazil",Paraná,PR,Sul
"Departamento de Ciêcia da Computaçāo, USP, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Universidade de Sao Paulo, Sao Paulo, SÃ£o Paulo, BR",São Paulo,SP,Sudeste
"Universidade de Sao Paulo, Sao Paulo, SÃ£o Paulo, BR",São Paulo,SP,Sudeste
"Universidade de Sao Paulo, Sao Paulo, SÃ£o Paulo, BR",São Paulo,SP,Sudeste
"Escola de Engenharia Eléctrica e de Computação,Laboratório de Sistemas Inteligentes, Universidade Federal de Goiás, Goiania, Goias, Brazil",Goiás,GO,Centro-Oeste
"Escola de Engenharia Eléctrica e de Computação,Laboratório de Sistemas Inteligentes, Universidade Federal de Goiás, Goiania, Goias, Brazil",Goiás,GO,Centro-Oeste
"DFQ-IQ-UNESP, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Cybernetic Vision Research Group, University of Sao Paulo, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Cybernetic Vision Research Group, University of Sao Paulo, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Cybernetic Vision Research Group, University of Sao Paulo, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Computing and Applied Mathematics Laboratory, National Institute of Space Research (INPE), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Guarulhos University Praça Tereza Cristina, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Systems Sciences, JNU, New Delhi, India",Internacional,,
"Physics Institute at Sāo Carlos, University of São Paulo, Brazil",São Paulo,SP,Sudeste
"School of Engineering at Sāo Carlos, Department of Electrical Engineering, University of São Paulo, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"School of Engineering at Sāo Carlos, Department of Electrical Engineering, University of São Paulo, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"PPGIA-Programa de Pos-Graduação em InformBtica Aplicada LARDOC-Laboratbrio de AnBlise e Reconhecimento de Documentos, PUCPR-Pontifícia Universidade Católica do Paraná, Curitiba, Parana, Brazil",Paraná,PR,Sul
"PPGIA-Programa de Pos-Graduação em InformBtica Aplicada LARDOC-Laboratbrio de AnBlise e Reconhecimento de Documentos, PUCPR-Pontifícia Universidade Católica do Paraná, Curitiba, Parana, Brazil",Paraná,PR,Sul
"PPGIA-Programa de Pos-Graduação em InformBtica Aplicada LARDOC-Laboratbrio de AnBlise e Reconhecimento de Documentos, PUCPR-Pontifícia Universidade Católica do Paraná, Curitiba, Parana, Brazil",Paraná,PR,Sul
"LIVIA-Laboratoire d Imagerie, de Vision et d Intelligence Artificielle, Ecole de Technologie Supérieure, Montreal, QUE, Canada",Internacional,,
"Departmento de Ciência da Computação, Pontificia Universidade Católica de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"Departmento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"Department of Radiology, University of Pennsylvania, Philadelphia, PA, USA",Pará,PA,Norte
